fips,area_name,state_abbreviation,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210
1000,Alabama,,4849377,4780127,1.4,4779736,6.1,22.8,15.3,51.5,69.7,26.7,0.7,1.3,0.1,1.5,4.1,66.2,85,3.5,5.2,83.1,22.6,388865,24.2,2207912,69.7,15.9,122500,1838683,2.55,23680,43253,18.6,97578,1603100,1.1,311578,382350,14.8,0.8,1.8,0.1,1.2,28.1,112858843,52252752,57344851,12364,6426342,13369,50645.33,94.4
2000,Alaska,,736732,710249,3.7,710231,7.4,25.3,9.4,47.4,66.9,3.9,14.8,6.1,1.3,7.1,6.8,61.9,80.3,7,16.2,91.6,27.5,71004,18.8,308583,63.8,24,241800,251899,2.75,32651,70760,9.9,20519,266627,3.3,52991,68728,1.5,10,3.1,0.3,0,25.9,8204030,4563605,9303387,13635,1851293,1518,570640.95,1.2
4000,Arizona,,6731484,6392310,5.3,6392017,6.4,24.1,15.9,50.3,83.7,4.7,5.3,3.3,0.3,2.7,30.5,56.2,80.4,13.4,26.8,85.7,26.9,522382,24.6,2909218,64.4,20.7,165100,2370289,2.67,25358,49774,17.9,132762,2173205,1.8,420233,491529,2,1.9,3.3,0,10.7,28.1,57977827,57573459,86758801,13637,13268514,26997,113594.08,56.3
5000,Arkansas,,2966369,2915958,1.7,2915918,6.5,23.8,15.7,50.9,79.7,15.6,1,1.5,0.3,1.9,7,73.4,83.6,4.5,7.2,83.7,20.1,237311,21.3,1341033,66.7,15.7,107300,1129723,2.53,22170,40768,19.2,64772,978094,0,191530,238994,5.5,1.1,1.4,0.1,2.3,24.5,60735582,29659789,32974282,11602,3559795,7666,52035.48,56
6000,California,,38802500,37254503,4.2,37253956,6.5,23.6,12.9,50.3,73.2,6.5,1.7,14.4,0.5,3.7,38.6,38.5,84.2,27,43.7,81.2,30.7,1893539,27.2,13900766,55.3,31,366400,12542460,2.94,29527,61094,15.9,874243,13401863,3.5,2983996,3425510,4,1.3,14.9,0.3,16.5,30.3,491372092,598456486,455032270,12561,80852787,83645,155779.22,239.1
8000,Colorado,,5355866,5029324,6.5,5029196,6.3,23.3,12.7,49.8,87.7,4.5,1.6,3.1,0.2,2.9,21.2,69,80.7,9.7,16.8,90.2,37,399458,24.5,2276184,65.4,25.9,236200,1977591,2.53,31109,58433,13.2,154875,2090975,2.7,447586,547770,1.7,0.8,2.6,0.1,6.2,29.2,46331953,53598986,65896788,13609,11440395,28686,103641.89,48.5
9000,Connecticut,,3596677,3574096,0.6,3574097,5.3,21.6,15.5,51.2,81.2,11.5,0.5,4.5,0.1,2.2,15,68.8,88,13.6,21.5,89.2,36.5,217947,24.8,1493564,67.8,34.4,278900,1355849,2.55,37892,69461,10.2,88498,1473605,0.7,263511,332150,4.4,0.5,3.3,0,4.2,28.1,58404898,107917037,52165480,14953,9138437,5329,4842.36,738.1
10000,Delaware,,935614,897936,4.2,897934,6,21.8,16.4,51.6,70.8,22.2,0.7,3.8,0.1,2.5,8.9,63.7,86.3,8.4,12.6,87.7,28.9,75081,24.8,417437,72.5,17.6,235800,335707,2.63,29819,59878,11.7,24151,382128,5.1,56861,74573,8.7,0,4,0,2.1,26.1,25679939,5727401,14202083,16421,1910770,5194,1948.54,460.8
12000,Florida,,19893297,18804623,5.8,18801310,5.5,20.4,19.1,51.1,77.8,16.8,0.5,2.8,0.1,2,24.1,55.8,83.7,19.4,27.4,86.1,26.4,1569406,25.9,9144250,67.1,30.1,160200,7158980,2.61,26236,46956,16.3,510389,7134644,2.9,1838864,2009589,9,0.5,3.2,0.1,22.4,28.9,104832907,221641518,262341127,14353,41922059,84075,53624.76,350.6
13000,Georgia,,10097343,9688681,4.2,9687653,6.6,24.7,12.4,51.2,62.1,31.5,0.5,3.8,0.1,2,9.3,54.3,83.6,9.7,13.3,84.7,28,690208,27,4151190,65.1,20.5,151300,3518097,2.71,25182,49179,18.2,217559,3458050,2,816360,901105,20.4,0.7,5.1,0.1,3.6,30.9,144280774,141962359,117516907,12326,16976235,39423,57513.49,168.4
15000,Hawaii,,1419561,1360301,4.4,1360301,6.4,21.7,16.1,49.4,26.7,2.5,0.4,37.5,10,23,10.1,23,84.9,17.9,25.4,90.4,30.1,112625,26,530106,57.6,38.1,503100,449771,2.96,29305,67402,11.2,31622,502530,2.1,98490,120374,0.9,1.3,47.2,9.5,3.6,31,8799266,8894672,17611851,13793,8042210,3066,6422.63,211.8
16000,Idaho,,1634464,1567652,4.3,1567582,7,26.4,14.3,49.9,93.5,0.8,1.7,1.4,0.2,2.3,12,82.8,82.8,5.9,10.4,88.8,25.1,122955,20,685099,69.8,14.9,162100,579797,2.68,22568,46767,15.5,43124,509986,3.3,115043,151671,0.2,0.9,0.8,0,2.6,23.5,18010976,14286715,20526631,13691,2415951,8797,82643.12,19
17000,Illinois,,12880580,12831587,0.4,12830632,6.1,23.2,13.9,50.9,77.5,14.7,0.6,5.3,0.1,1.8,16.7,62.3,86.8,13.8,22.3,87.3,31.4,727919,28,5307222,67.5,32.9,182300,4772723,2.63,29666,56797,14.1,315364,5209070,1.7,928461,1123817,9.5,0.5,5.3,0.1,5,30.5,257760713,231082768,165450520,12947,25469026,20579,55518.93,231.1
18000,Indiana,,6596855,6484192,1.7,6483802,6.4,24,14.3,50.7,86.1,9.6,0.4,2,0.1,1.9,6.6,80.3,84.9,4.7,8.2,87.2,23.2,455105,23.2,2829532,70,18.5,122800,2481793,2.55,24635,48248,15.4,143515,2555979,1.7,390233,482847,4.6,0.5,1.8,0,1.8,26.8,221877814,67634947,78745589,12408,11669759,17816,35826.11,181
19000,Iowa,,3107126,3046869,2,3046355,6.3,23.4,15.8,50.3,92.1,3.4,0.5,2.2,0.1,1.7,5.6,87.1,84.8,4.5,7.2,91,25.7,226175,18.8,1362124,72.2,18.4,124300,1226547,2.42,27027,51843,12.4,80581,1305216,0.9,203763,259931,0.8,0.2,1.1,0.1,0.9,25.5,97592051,41068338,39234649,13172,4737719,10256,55857.13,54.5
20000,Kansas,,2904021,2853132,1.8,2853118,6.9,24.9,14.3,50.2,86.8,6.3,1.2,2.8,0.1,2.8,11.4,76.8,83.2,6.7,11,89.8,30.3,211113,19,1248813,67.5,17.7,128400,1110440,2.51,26929,51332,13.7,73816,1150401,1.4,190838,237040,2.4,0.9,2,0,2.4,27.5,76751828,45863865,34538332,12444,4192347,7459,81758.72,34.9
21000,Kentucky,,4413457,4339349,1.7,4339367,6.3,22.9,14.8,50.8,88.3,8.2,0.3,1.4,0.1,1.8,3.4,85.4,84.8,3.3,5,83,21.5,312365,22.8,1950382,68.4,18,120400,1694996,2.5,23462,43036,18.8,90675,1507375,1.8,274987,337600,3.1,0.3,1.6,0,1.1,25.6,119105421,74680759,50405925,11843,6300866,9536,39486.34,109.9
22000,Louisiana,,4649676,4533479,2.6,4533372,6.6,23.9,13.6,51.1,63.4,32.5,0.8,1.8,0.1,1.5,4.8,59.3,85.8,3.9,8.7,82.6,21.8,304271,24.9,2010868,67,18.3,138900,1707852,2.6,24442,44874,19.1,104375,1687956,2.7,348367,375808,15.9,0.7,2.8,0,2.9,27.4,205054723,51415553,56543203,12921,9729869,15255,43203.9,104.9
23000,Maine,,1330089,1328361,0.1,1328361,4.9,19.5,18.3,51,95,1.4,0.7,1.2,0,1.6,1.5,93.8,86.4,3.4,6.8,91.1,27.9,126842,23.3,727632,71.8,19.2,174500,553823,2.33,26824,48453,13.6,40257,487313,0.1,109260,150389,0.5,0.5,0.7,0,0.7,25.6,16363192,8823719,20444031,15520,2515827,3242,30842.92,43.1
24000,Maryland,,5976407,5773785,3.5,5773552,6.2,22.6,13.8,51.5,60.1,30.3,0.6,6.4,0.1,2.6,9.3,52.6,86.7,14,16.7,88.7,36.8,427068,32,2422194,67.6,25.5,292700,2146240,2.65,36354,73538,9.8,135421,2182260,1.4,456511,528112,19.3,0.6,6.8,0.1,4.9,32.6,41456097,51276797,75664186,13429,10758428,16331,9707.24,594.8
25000,Massachusetts,,6745408,6547817,3,6547629,5.4,20.6,15.1,51.5,82.6,8.3,0.5,6.3,0.1,2.2,10.8,74.3,86.7,15,21.9,89.4,39.4,383087,28,2828492,62.7,41.7,330100,2530147,2.51,35763,66866,11.4,172533,3062689,0.9,484147,596790,3.4,0.4,4.5,0,3.3,29.8,86428959,95275672,88082966,13553,14917210,14486,7800.06,839.4
26000,Michigan,,9909877,9884133,0.3,9883640,5.8,22.4,15.4,50.9,79.9,14.2,0.7,2.9,0,2.3,4.8,75.8,85.3,6.1,9.1,88.9,25.9,672213,24,4539871,72.1,17.9,121700,3823280,2.53,25681,48411,16.8,217494,3535685,1.9,687136,816972,8.9,0.7,2.6,0.1,1.3,30.4,234455768,107109349,109102594,10855,14536648,15933,56538.9,174.8
27000,Minnesota,,5457173,5303925,2.9,5303925,6.4,23.5,14.3,50.3,85.7,5.9,1.3,4.7,0.1,2.3,5.1,81.4,85.6,7.3,10.7,92.1,32.6,366990,22.9,2385544,72.5,21.6,187900,2107232,2.47,30913,59836,11.5,146354,2518268,1.5,388900,496657,2.5,0.6,2.3,0,1,26.8,107563060,82878056,71384103,13751,10423660,16990,79626.74,66.6
28000,Mississippi,,2994079,2968103,0.9,2967297,6.5,24.4,14.3,51.4,59.7,37.5,0.6,1,0.1,1.2,3,57.3,85.8,2.2,3.9,81.5,20.1,200748,23.9,1294721,69.4,13.9,99900,1088073,2.65,20618,39031,22.7,58435,902638,0.8,201939,225977,18,0.3,1.8,0,0.8,26.9,59869456,23003585,33751407,11552,7045097,6871,46923.27,63.2
29000,Missouri,,6063589,5988923,1.2,5988927,6.2,23,15.4,50.9,83.5,11.8,0.5,1.9,0.1,2.1,4,80.1,83.8,3.9,6.1,87.6,26.2,479828,23.1,2735742,68.4,19.7,137000,2360131,2.47,25649,47380,15.5,150290,2355336,1.5,393292,501064,4.9,0.6,1.9,0.1,1.2,26.1,110907604,81032913,76575216,12957,11070634,16003,68741.52,87.1
30000,Montana,,1023579,989417,3.5,989415,6,22,16.7,49.8,89.4,0.6,6.6,0.8,0.1,2.6,3.5,86.7,83.6,2,4.4,92.1,28.7,94404,18,491531,68.3,16.8,184200,405525,2.39,25373,46230,15.2,36529,350196,1.8,84251,114398,0.2,2,0.6,0,1,24.6,10638145,8202782,14686854,15343,2079426,3884,145545.8,6.8
31000,Nebraska,,1881503,1826341,3,1826341,6.9,24.8,14.4,50.2,89.4,4.9,1.4,2.2,0.1,2,10.2,80.5,83.3,6.3,10.5,90.5,28.5,142176,18.1,814970,67,19.6,128000,725787,2.47,26899,51672,12.8,52585,830073,1.4,127427,159665,1.8,0.4,1.4,0,1.9,25.7,40157999,24019868,26486612,14965,2685580,7605,76824.17,23.8
32000,Nevada,,2839099,2700692,5.1,2700551,6.2,23.4,14.2,49.7,76.2,9.1,1.6,8.3,0.7,4,27.8,51.5,77.7,19.1,29.3,84.6,22.4,226555,23.8,1198907,56.7,30.1,169100,999016,2.7,26589,52800,15,60306,1047657,3.3,192044,221260,3.9,0.8,7.9,0.3,8.1,28.6,15735787,19255893,37433983,14579,28815533,13016,109781.18,24.6
33000,New Hampshire,,1326813,1316466,0.8,1316470,4.9,20.1,15.9,50.6,94,1.5,0.3,2.5,0,1.6,3.3,91.3,86.5,5.4,8,91.8,33.7,112790,26.3,619856,71.4,25.6,239900,518245,2.47,33134,64916,8.7,37185,551793,0.5,101795,137815,0.5,0.4,1.6,0,1,25.8,18592406,14564458,25353874,19246,2630968,3403,8952.65,147
34000,New Jersey,,8938175,8791936,1.7,8791894,6,22.5,14.7,51.2,73,14.8,0.6,9.4,0.1,2.1,19.3,56.8,90.1,21.2,30,88.1,35.8,437652,30.4,3591588,65.6,36,327100,3186418,2.71,36027,71629,10.4,230281,3492216,1.5,629395,781622,7.7,0.4,8.7,0.1,8.7,27.3,116608094,233413004,124813580,14453,19993613,28155,7354.22,1195.5
35000,New Mexico,,2085572,2059192,1.3,2059179,6.6,24.1,15.3,50.5,82.8,2.5,10.4,1.7,0.2,2.5,47.7,38.9,85.3,9.8,36.1,83.6,25.8,172717,21.6,912890,68.7,14.8,160000,761938,2.66,23763,44927,20.4,43737,606002,0.5,119195,157231,1.2,5.3,2.1,0.1,23.6,31.7,17122725,10589286,24469997,12429,3734300,4799,121298.15,17
36000,New York,,19746227,19378112,1.9,19378102,6,21.4,14.7,51.5,70.4,17.6,1,8.5,0.1,2.4,18.6,56.5,88.8,22.1,29.9,85.2,33.2,912499,31.6,8191040,54.2,50.6,288200,7234743,2.61,32382,58003,15.3,532669,7688492,1.7,1626367,1956733,10.4,0.7,10.1,0.1,9.9,30.4,162720173,313461904,230718065,11879,39813499,36286,47126.4,411.2
37000,North Carolina,,9943964,9535691,4.3,9535483,6.1,23,14.7,51.3,71.5,22.1,1.6,2.7,0.1,2.1,9,64.1,84.7,7.6,10.9,84.9,27.3,724295,23.6,4452334,66.4,17.2,153600,3715565,2.53,25284,46334,17.5,218285,3421195,2.1,679725,798791,10.5,1,2.5,0.1,2.7,28.2,205867299,88795885,114578173,12641,16126939,49911,48617.91,196.1
38000,North Dakota,,739482,672591,9.9,672591,6.9,22.8,14.2,48.7,89.1,2.1,5.4,1.3,0.1,2,3.2,86.6,82.8,2.7,5.3,90.9,27.2,53157,16.9,350560,66.1,25.5,132400,287270,2.31,29732,53741,11.9,24088,342747,3.5,51879,61546,0.3,1.6,0.7,0,0.5,24.8,11349799,13099348,10527300,16495,1214201,12178,69000.8,9.7
39000,Ohio,,11594163,11536725,0.5,11536504,6,22.8,15.5,51.1,83,12.6,0.3,2,0.1,2.1,3.5,80.1,85.5,4,6.6,88.5,25.2,864923,23,5146933,67.5,22.9,130800,4557655,2.47,26046,48308,15.8,250117,4587136,0.9,745540,897939,5.8,0.3,2,0,1.1,27.7,295890890,135575279,138816008,12049,17779905,19872,40860.69,282.3
40000,Oklahoma,,3878051,3751616,3.4,3751351,6.8,24.6,14.5,50.5,75.1,7.7,9,2.1,0.2,5.9,9.8,67,82.5,5.5,9.4,86.4,23.5,312492,21,1699438,67.1,15.2,112800,1444081,2.55,24208,45339,16.9,91717,1325927,1.6,266444,333797,3.1,6.3,2,0,2.3,25.3,60681358,48074682,43095353,11931,5106585,14179,68594.92,54.7
