state,state_abbreviation,county,fips,party,candidate,MAX(votes),fraction_votes,county_state
Arkansas,AR,Little River,5081,Democrat,Hillary_Clinton,721,0.531,Little River_AR
Arkansas,AR,Lonoke,5085,Democrat,Hillary_Clinton,1664,0.654,Lonoke_AR
Arkansas,AR,Miller,5091,Democrat,Hillary_Clinton,1300,0.761,Miller_AR
Arkansas,AR,Mississippi,5093,Democrat,Hillary_Clinton,2017,0.819,Mississippi_AR
Arkansas,AR,Nevada,5099,Democrat,Hillary_Clinton,647,0.592,Nevada_AR
Arkansas,AR,Phillips,5107,Democrat,Hillary_Clinton,2696,0.754,Phillips_AR
Arkansas,AR,Poinsett,5111,Democrat,Hillary_Clinton,717,0.724,Poinsett_AR
Arkansas,AR,Pope,5115,Democrat,Hillary_Clinton,1680,0.576,Pope_AR
Arkansas,AR,Prairie,5117,Democrat,Hillary_Clinton,558,0.517,Prairie_AR
Arkansas,AR,Pulaski,5119,Democrat,Hillary_Clinton,34862,0.764,Pulaski_AR
Arkansas,AR,Saline,5125,Democrat,Hillary_Clinton,4358,0.674,Saline_AR
Arkansas,AR,Searcy,5129,Democrat,Hillary_Clinton,221,0.564,Searcy_AR
Arkansas,AR,Sebastian,5131,Democrat,Hillary_Clinton,3694,0.611,Sebastian_AR
Arkansas,AR,Sharp,5135,Democrat,Hillary_Clinton,608,0.642,Sharp_AR
Arkansas,AR,Washington,5143,Democrat,Hillary_Clinton,9110,0.513,Washington_AR
Arkansas,AR,White,5145,Democrat,Hillary_Clinton,2024,0.69,White_AR
Arkansas,AR,Woodruff,5147,Democrat,Hillary_Clinton,862,0.662,Woodruff_AR
Arkansas,AR,Yell,5149,Democrat,Hillary_Clinton,723,0.582,Yell_AR
Colorado,CO,Adams,8001,Democrat,Bernie_Sanders,3279,0.61,Adams_CO
Colorado,CO,Alamosa,8003,Democrat,Bernie_Sanders,167,0.63,Alamosa_CO
Colorado,CO,Arapahoe,8005,Democrat,Bernie_Sanders,6086,0.53,Arapahoe_CO
Colorado,CO,Archuleta,8007,Democrat,Bernie_Sanders,156,0.642,Archuleta_CO
Colorado,CO,Baca,8009,Democrat,Hillary_Clinton,15,0.319,Baca_CO
Colorado,CO,Bent,8011,Democrat,Hillary_Clinton,26,0.481,Bent_CO
Colorado,CO,Boulder,8013,Democrat,Bernie_Sanders,11142,0.636,Boulder_CO
Colorado,CO,Broomfield,8014,Democrat,Bernie_Sanders,1010,0.632,Broomfield_CO
Colorado,CO,Chaffee,8015,Democrat,Bernie_Sanders,404,0.652,Chaffee_CO
Colorado,CO,Clear Creek,8019,Democrat,Bernie_Sanders,199,0.553,Clear Creek_CO
Colorado,CO,Conejos,8021,Democrat,Hillary_Clinton,73,0.584,Conejos_CO
Colorado,CO,Costilla,8023,Democrat,Hillary_Clinton,64,0.566,Costilla_CO
Colorado,CO,Crowley,8025,Democrat,Bernie_Sanders,16,0.5,Crowley_CO
Colorado,CO,Denver,8031,Democrat,Bernie_Sanders,14624,0.544,Denver_CO
Colorado,CO,Dolores,8033,Democrat,Bernie_Sanders,22,0.629,Dolores_CO
Colorado,CO,Eagle,8037,Democrat,Bernie_Sanders,623,0.637,Eagle_CO
Colorado,CO,Fremont,8043,Democrat,Bernie_Sanders,268,0.571,Fremont_CO
Colorado,CO,Gilpin,8047,Democrat,Bernie_Sanders,173,0.698,Gilpin_CO
Colorado,CO,Gunnison,8051,Democrat,Bernie_Sanders,481,0.763,Gunnison_CO
Colorado,CO,Hinsdale,8053,Democrat,Bernie_Sanders,10,0.714,Hinsdale_CO
Colorado,CO,Huerfano,8055,Democrat,Bernie_Sanders,150,0.584,Huerfano_CO
Colorado,CO,Kit Carson,8063,Democrat,Bernie_Sanders,16,0.593,Kit Carson_CO
Colorado,CO,La Plata,8067,Democrat,Bernie_Sanders,1466,0.641,La Plata_CO
Colorado,CO,Larimer,8069,Democrat,Bernie_Sanders,6664,0.672,Larimer_CO
Colorado,CO,Las Animas,8071,Democrat,Bernie_Sanders,106,0.512,Las Animas_CO
Colorado,CO,Mesa,8077,Democrat,Bernie_Sanders,1095,0.573,Mesa_CO
Colorado,CO,Moffat,8081,Democrat,Bernie_Sanders,28,0.56,Moffat_CO
Colorado,CO,Montezuma,8083,Democrat,Bernie_Sanders,412,0.673,Montezuma_CO
Colorado,CO,Montrose,8085,Democrat,Bernie_Sanders,258,0.549,Montrose_CO
Colorado,CO,Otero,8089,Democrat,Bernie_Sanders,94,0.543,Otero_CO
Colorado,CO,Ouray,8091,Democrat,Bernie_Sanders,156,0.645,Ouray_CO
Colorado,CO,Park,8093,Democrat,Bernie_Sanders,231,0.662,Park_CO
Colorado,CO,Pitkin,8097,Democrat,Bernie_Sanders,421,0.547,Pitkin_CO
Colorado,CO,Prowers,8099,Democrat,Hillary_Clinton,40,0.69,Prowers_CO
Colorado,CO,Pueblo,8101,Democrat,Hillary_Clinton,1260,0.517,Pueblo_CO
Colorado,CO,Rio Blanco,8103,Democrat,Bernie_Sanders,18,0.692,Rio Blanco_CO
Colorado,CO,Rio Grande,8105,Democrat,Bernie_Sanders,59,0.546,Rio Grande_CO
Colorado,CO,Routt,8107,Democrat,Bernie_Sanders,406,0.63,Routt_CO
Colorado,CO,Saguache,8109,Democrat,Bernie_Sanders,219,0.811,Saguache_CO
Colorado,CO,San Miguel,8113,Democrat,Bernie_Sanders,329,0.783,San Miguel_CO
Colorado,CO,Sedgwick,8115,Democrat,Hillary_Clinton,13,0.619,Sedgwick_CO
Colorado,CO,Teller,8119,Democrat,Bernie_Sanders,219,0.622,Teller_CO
Colorado,CO,Weld,8123,Democrat,Bernie_Sanders,1647,0.607,Weld_CO
Florida,FL,Alachua,12001,Democrat,Hillary_Clinton,17733,0.492,Alachua_FL
Florida,FL,Baker,12003,Democrat,Bernie_Sanders,805,0.474,Baker_FL
Florida,FL,Bradford,12007,Democrat,Hillary_Clinton,1056,0.487,Bradford_FL
Florida,FL,Brevard,12009,Democrat,Hillary_Clinton,31835,0.597,Brevard_FL
Florida,FL,Broward,12011,Democrat,Hillary_Clinton,132527,0.725,Broward_FL
Florida,FL,Charlotte,12015,Democrat,Hillary_Clinton,8125,0.621,Charlotte_FL
Florida,FL,Citrus,12017,Democrat,Hillary_Clinton,6863,0.563,Citrus_FL
Florida,FL,Collier,12021,Democrat,Hillary_Clinton,12712,0.661,Collier_FL
Florida,FL,Dixie,12029,Democrat,Bernie_Sanders,459,0.451,Dixie_FL
Florida,FL,Duval,12031,Democrat,Hillary_Clinton,58632,0.672,Duval_FL
Florida,FL,Escambia,12033,Democrat,Hillary_Clinton,16765,0.622,Escambia_FL
Florida,FL,Flagler,12035,Democrat,Hillary_Clinton,6152,0.658,Flagler_FL
Florida,FL,Gadsden,12039,Democrat,Hillary_Clinton,7446,0.764,Gadsden_FL
Florida,FL,Gilchrist,12041,Democrat,Bernie_Sanders,578,0.507,Gilchrist_FL
Florida,FL,Glades,12043,Democrat,Hillary_Clinton,387,0.499,Glades_FL
Florida,FL,Gulf,12045,Democrat,Hillary_Clinton,568,0.474,Gulf_FL
Florida,FL,Hardee,12049,Democrat,Hillary_Clinton,529,0.527,Hardee_FL
Florida,FL,Hendry,12051,Democrat,Hillary_Clinton,1156,0.606,Hendry_FL
Florida,FL,Hernando,12053,Democrat,Hillary_Clinton,8882,0.596,Hernando_FL
Florida,FL,Highlands,12055,Democrat,Hillary_Clinton,3711,0.614,Highlands_FL
Florida,FL,Hillsborough,12057,Democrat,Hillary_Clinton,68936,0.628,Hillsborough_FL
Florida,FL,Indian River,12061,Democrat,Hillary_Clinton,6897,0.624,Indian River_FL
Florida,FL,Lee,12071,Democrat,Hillary_Clinton,27940,0.627,Lee_FL
Florida,FL,Leon,12073,Democrat,Hillary_Clinton,27333,0.565,Leon_FL
Florida,FL,Levy,12075,Democrat,Hillary_Clinton,1570,0.5,Levy_FL
Florida,FL,Manatee,12081,Democrat,Hillary_Clinton,18116,0.625,Manatee_FL
Florida,FL,Marion,12083,Democrat,Hillary_Clinton,18220,0.627,Marion_FL
Florida,FL,Martin,12085,Democrat,Hillary_Clinton,6523,0.598,Martin_FL
Florida,FL,Miami-Dade,12086,Democrat,Hillary_Clinton,129467,0.747,Miami-Dade_FL
Florida,FL,Nassau,12089,Democrat,Hillary_Clinton,2910,0.562,Nassau_FL
Florida,FL,Okeechobee,12093,Democrat,Hillary_Clinton,1150,0.552,Okeechobee_FL
